Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0C23BYDML/ref=sr_1_61?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-61,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack,₹699,3.4,19
https://www.amazon.in/Fur-Jaden-Leather-Resistant-Backpack/dp/B079KBP4VM/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-62,Fur Jaden Brown Backpack,₹1300,4.0,1377
https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-63,Half Moon 30L Waterproof 15.6 inch Laptop Office School College,₹589,3.6,377
https://www.amazon.in/GoTrippin-Camping-Outdoors-Polyester-Adjustable/dp/B088LHS5LP/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1690306539&sprefix=ba%2Caps%2C283&sr=8-64,GoTrippin Waist,₹999,4.5,2163
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-65,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office,₹439,3.9,34
https://www.amazon.in/AmazonBasics-Mini-Backpack-Outdoor-Black/dp/B0BRKFXT9Z/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-66,AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Black),₹278,3.7,548
https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-67,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School",₹799,4.1,2634
https://www.amazon.in/Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-68,Skybags Unisex Grey Jacqard 34L Laptop,₹1279,4.0,64
https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-69,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College,₹1409,4.2,1413
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-70,NORTH ZONE Lightweight school,₹630,3.9,841
https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-71,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),₹819,4.2,1697
https://www.amazon.in/Harissons-Vervo-Laptop-Backpack-Built/dp/B07M5P5LW3/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-72,HARISSONS,₹2960,4.3,2000
https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17230/dp/B075Y8294N/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-73,Lenovo 15.6-inch Casual Laptop Briefcase T210,₹979,4.3,4337
https://www.amazon.in/Amazon-Brand-Autumn-Winter20-womens-Handbag/dp/B08H89HSRV/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-74,Amazon Brand - Eden & Ivy Women's Handbag,₹699,4.2,2454
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Wheeler/dp/B0992JCN1W/ref=sr_1_75?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-75,Lavie Sport Lino M Duffle Wheeler,₹749,3.8,3276
https://www.amazon.in/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ/ref=sr_1_76?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-76,Tabelito® DELTA Casual Waterproof Laptop Backpack/Office,₹599,4.6,191
https://www.amazon.in/Mokobara-Transit-Backpack-Laptop-Sunray/dp/B09V7R98XC/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-77,"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop",₹4999,4.5,591
https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-78,Lenovo 15.6-inch Casual Laptop Briefcase T210,₹979,4.2,20426
https://www.amazon.in/Nivia-5183NB-Gym-Navy-Blue/dp/B07NJGW3WX/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-79,NIVIA Beast Gym,₹523,3.9,112
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903338054702/dp/B012D51GXO/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1690306544&sprefix=ba%2Caps%2C283&sr=8-80,Wildcraft Turnaround Polyester 35 Ltrs Blue Laptop,₹1840.09,4.3,1207
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJDZ47/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1690306549&sprefix=ba%2Caps%2C283&sr=8-81,"Genie Bliss Laptop Backpack for Women, 3 compartments, Stylish and Trendy College",₹899,N/A,M.R.P: 
https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1690306549&sprefix=ba%2Caps%2C283&sr=8-82,Gear Parker 23L Water Resistant Anti Theft Laptop,₹644,4.3,429
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YB2S3/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1690306549&sprefix=ba%2Caps%2C283&sr=8-83,"Genie Royale Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight",₹899,N/A,M.R.P: 
https://www.amazon.in/SKYBAGS-Unisex-Luggage-Duffel-Bag-DFHUS55ONG/dp/B07F342RQD/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1690306549&sprefix=ba%2Caps%2C283&sr=8-84,"Skybags Unisex Polyester Solid Pattern Hustle Df 55 (Orange, Small)",₹1585,4.3,316
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1690306549&sprefix=ba%2Caps%2C283&sr=8-85,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office,₹448,4.3,13099
